id,address,city,floor,price,rooms,sq,year,latitude,longitude
16108,Łąkowa,Gdańsk,5,1800000.0,3,91.0,2016.0,50.0239286,19.9604306
16109,Olimpijska,Gdańsk,3,659000.0,4,75.0,2012.0,50.0239286,19.9604306
16110,Krzysztofa Komedy,Gdańsk,1,779000.0,3,69.0,2020.0,50.0777152,19.9791602
16111,Dolne Migowo,Gdańsk,5,1480000.0,4,87.1,2017.0,50.0404753,20.0151209
16112,Jaglana,Gdańsk,0,545000.0,1,26.0,2018.0,50.0068375,19.8965993
16113,Potęgowska,Gdańsk,3,760000.0,3,79.8,2014.0,50.0450968,19.9691749
16114,Czerska,Gdańsk,3,420000.0,2,39.5,2000.0,50.0041101,19.9058179
16115,Jałmużnicza,Gdańsk,2,839000.0,3,55.49,1996.0,50.0279447,19.9409074
16116,Śniadeckich,Gdańsk,2,990000.0,4,89.7,1910.0,50.1018633,19.9608683
16117,Płocka,Gdańsk,0,520000.0,2,38.4,2015.0,50.0955487,19.8983779
16118,Niepołomicka,Gdańsk,4,339000.0,2,35.76,2022.0,50.0643634,20.0178213
16119,Niepołomicka,Gdańsk,2,349000.0,2,37.6,2022.0,50.2059754,19.994211
16120,Świętokrzyska,Gdańsk,0,584154.0,3,57.27,2000.0,50.0859759,19.938123
16121,Świętokrzyska,Gdańsk,0,466530.0,2,46.77,2000.0,50.0191677,19.9488458
16122,Stefanii Sempołowskiej,Gdańsk,0,850000.0,3,69.5,1900.0,50.0143192,20.0001537
16123,Góralska,Gdańsk,3,525000.0,2,50.0,1988.0,50.0510909,19.9735024
16124,Podwale Przedmiejskie,Gdańsk,0,730000.0,4,50.0,1980.0,50.0883914,19.9092309
16125,Białowieska,Gdańsk,2,431000.0,2,42.67,2000.0,50.0868284,19.9463737
16126,Starogardzka,Gdańsk,2,373970.0,2,42.53,2022.0,49.9441667,19.9191667
16127,Białowieska,Gdańsk,2,535100.0,3,54.6,2000.0,50.0564184,19.9453922
16128,Świętokrzyska,Gdańsk,2,513878.0,4,61.3,2000.0,50.0475257,19.978844
16129,Świętokrzyska,Gdańsk,3,478576.0,3,52.51,2000.0,50.0404808,19.9884892
16130,Świętokrzyska,Gdańsk,2,409557.0,2,42.64,2000.0,50.0461167,19.9723264
